Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
10 | -0.5 | 0.10 | 0.5 | -0.10
11 | -0.5 | 0.11 | 0.5 | -0.11
12 | -0.5 | 0.12 | 0.5 | -0.12
13 | -0.5 | 0.13 | 0.5 | -0.13
14 | -0.5 | 0.14 | 0.5 | -0.14
15 | -0.5 | 0.15 | 0.5 | -0.15
16 | -0.5 | 0.16 | 0.5 | -0.16
17 | -0.5 | 0.17 | 0.5 | -0.17
18 | -0.5 | 0.18 | 0.5 | -0.18
19 | -0.5 | 0.19 | 0.5 | -0.19
20 | -0.5 | 0.20 | 0.5 | -0.20
21 | -0.5 | 0.21 | 0.5 | -0.21
22 | -0.5 | 0.22 | 0.5 | -0.22
23 | -0.5 | 0.23 | 0.5 | -0.23
24 | -0.5 | 0.24 | 0.5 | -0.24
25 | -0.5 | 0.25 | 0.5 | -0.25
26 | -0.5 | 0.26 | 0.5 | -0.26
27 | -0.5 | 0.27 | 0.5 | -0.27
28 | -0.5 | 0.28 | 0.5 | -0.28
29 | -0.5 | 0.29 | 0.5 | -0.29
30 | -0.5 | 0.30 | 0.5 | -0.30
31 | -0.5 | 0.31 | 0.5 | -0.31
32 | -0.5 | 0.32 | 0.5 | -0.32
33 | -0.5 | 0.33 | 0.5 | -0.33
34 | -0.5 | 0.34 | 0.5 | -0.34
35 | -0.5 | 0.35 | 0.5 | -0.35
36 | -0.5 | 0.36 | 0.5 | -0.36
37 | -0.5 | 0.37 | 0.5 | -0.37
38 | -0.5 | 0.38 | 0.5 | -0.38
39 | -0.5 | 0.39 | 0.5 | -0.39
40 | -0.5 | 0.40 | 0.5 | -0.40
41 | -0.5 | 0.41 | 0.5 | -0.41
42 | -0.5 | 0.42 | 0.5 | -0.42
43 | -0.5 | 0.43 | 0.5 | -0.43
44 | -0.5 | 0.44 | 0.5 | -0.44
45 | -0.5 | 0.45 | 0.5 | -0.45
46 | -0.5 | 0.46 | 0.5 | -0.46
47 | -0.5 | 0.47 | 0.5 | -0.47
48 | -0.5 | 0.48 | 0.5 | -0.48
49 | -0.5 | 0.49 | 0.5 | -0.49
50 | -0.5 | 0.50 | 0.5 | -0.50
51 | -0.5 | 0.51 | 0.5 | -0.51
52 | -0.5 | 0.52 | 0.5 | -0.52
53 | -0.5 | 0.53 | 0.5 | -0.53
54 | -0.5 | 0.54 | 0.5 | -0.54
55 | -0.5 | 0.55 | 0.5 | -0.55
56 | -0.5 | 0.56 | 0.5 | -0.56
57 | -0.5 | 0.57 | 0.5 | -0.57
58 | -0.5 | 0.58 | 0.5 | -0.58
59 | -0.5 | 0.59 | 0.5 | -0.59
60 | -0.5 | 0.60 | 0.5 | -0.60
61 | -0.5 | 0.61 | 0.5 | -0.61
62 | -0.5 | 0.62 | 0.5 | -0.62
63 | -0.5 | 0.63 | 0.5 | -0.63
64 | -0.5 | 0.64 | 0.5 | -0.64
65 | -0.5 | 0.65 | 0.5 | -0.65
66 | -0.5 | 0.66 | 0.5 | -0.66
67 | -0.5 | 0.67 | 0.5 | -0.67
68 | -0.5 | 0.68 | 0.5 | -0.68
69 | -0.5 | 0.69 | 0.5 | -0.69
70 | -0.5 | 0.70 | 0.5 | -0.70
71 | -0.5 | 0.71 | 0.5 | -0.71
72 | -0.5 | 0.72 | 0.5 | -0.72
73 | -0.5 | 0.73 | 0.5 | -0.73
74 | -0.5 | 0.74 | 0.5 | -0.74
75 | -0.5 | 0.75 | 0.5 | -0.75
76 | -0.5 | 0.76 | 0.5 | -0.76
77 | -0.5 | 0.77 | 0.5 | -0.77
78 | -0.5 | 0.78 | 0.5 | -0.78
79 | -0.5 | 0.79 | 0.5 | -0.79
80 | -0.5 | 0.80 | 0.5 | -0.80
81 | -0.5 | 0.81 | 0.5 | -0.81
82 | -0.5 | 0.82 | 0.5 | -0.82
83 | -0.5 | 0.83 | 0.5 | -0.83
